# Norwegian (nb): visible labels use natural Bokmål; common English loanwords (streaming, software, TV, fitness, …) stay as-is when they read naturally.
tab.holidays|Holidays|Ferier
tab.properties|Properties|Eiendommer
tab.stash|Belongings|Eiendeler
tab.calendar|Calendar|Kalender
tab.subs|Subs|Abbo
tab.family_tree|Family tree|Familien
app.title|The Gomsons|The Gomsons
common.delete|Delete|Slett
common.cancel|Cancel|Avbryt
common.save|Save|Lagre
common.done|Done|Ferdig
common.add|Add|Legg til
common.edit|Edit|Rediger
common.ok|OK|OK
common.new|New|Ny
common.remove|Remove|Fjern
common.create|Create|Opprett
common.optional|Optional|Valgfritt
common.name|Name|Navn
common.field_title|Title|Tittel
event.field.location|Location|Sted
event.field.assigned|Assigned to|Tildelt
calendar.reminder_notify_day|Notify on the day|Varsle samme dag
calendar.reminder_notify_at_event|Notify at event time|Varsle ved hendelse
calendar.reminder_notify_before|Notify %lld min before|Varsle %lld min før
calendar.reminder_footer_birthday|Birthdays use the start of that day (no time). Reminders fire relative to midnight. Allow notifications in Settings if you don’t see alerts.|Bursdager bruker starten av dagen (ingen tid). Varsler ved midnatt. Tillat varsler i Innstillinger hvis du ikke ser dem.
calendar.reminder_footer_general|Allow notifications in Settings if you don’t see alerts.|Tillat varsler i Innstillinger hvis du ikke ser dem.
common.notes|Notes|Notater
common.details|Details|Detaljer
common.type|Type|Type
common.category|Category|Kategori
common.website|Website|Nettsted
common.login|Login|Innlogging
common.billing|Billing|Betaling
common.cost|Cost|Pris
common.password|Password|Passord
common.month|Month|Måned
common.year|Year|År
common.view|View|Visning
common.section|Section|Seksjon
common.branch|Branch|Gren
common.none|None|Ingen
common.untitled|Untitled|Uten navn
common.unnamed|Unnamed|Uten navn
common.primary|Primary|Hoved
common.loading|Loading family data…|Laster familiedata…
cocker.news.open_hint|Opens the related section|Åpner den tilhørende delen
cocker.news.birthday_today|Woof — %@’s birthday is today!|Voff — %@ har bursdag i dag!
cocker.news.birthday_tomorrow|Woof — %@’s birthday is tomorrow|Voff — %@ har bursdag i morgen
cocker.news.birthday_soon|Woof — %@’s birthday in %d days|Voff — %@ har bursdag om %d dager
cocker.news.dont_forget_today|Don’t forget today: %@|Ikke glem i dag: %@
cocker.news.dont_forget_soon|Don’t forget in %2$d days: %1$@|Ikke glem om %2$d dager: %1$@
cocker.news.warranty_today|Warranty ends today: %@|Garantien utløper i dag: %@
